公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,薪资,职位福利,经营范围,职位类型,公司福利,第二职位类型,城市
上海海万信息科技股份有限公司,海万科技,500-2000人,不需要融资,福田区,python开发（数据分析）,3-5年,本科,10k-15k,五险一金，节假日福利,"移动互联网,金融",开发|测试|运维类,[],后端开发,深圳
上海莱壳企业管理有限公司,wlaike,150-500人,B轮,天河区,python开发工程师,不限,本科,30k-60k,保底16薪，五险一金，带薪年假，出国旅行,"移动互联网,企业服务",开发|测试|运维类,"['年底双薪', '帅哥多', '绩效奖金', '专项奖金']",后端开发,广州
普华永道信息技术（上海）有限公司,PwC,500-2000人,未融资,浦东新区,Python开发工程师,5-10年,本科,20k-25k,外企福利 技术前沿 Python开发,"移动互联网,金融",开发|测试|运维类,"['年底双薪', '交通补助', '绩效奖金', '午餐补助']",后端开发,上海
秒针信息技术有限公司,明略科技集团,2000人以上,D轮及以上,长宁区,python开发工程师,3-5年,本科,15k-25k,福利待遇 发展前景,"数据服务,广告营销",开发|测试|运维类,"['六险一金', '年底双薪', '绩效奖金', '完成E轮融资']",后端开发,上海
深圳市比一比网络科技有限公司,深圳市比一比网络科技有限公司,50-150人,A轮,南山区,python工程师,3-5年,大专,10k-20k,"双休,五险一金,大数据,氛围好","电商,数据服务",开发|测试|运维类,"['技能培训', '股票期权', '带薪年假', '岗位晋升']",后端开发,深圳
上海涌驰信息技术有限公司,涌驰信息,150-500人,不需要融资,天河区,Python工程师,3-5年,本科,13k-17k,五险一金 带薪年假 做五休二,软件开发,开发|测试|运维类,[],后端开发,广州
广州掌昆网络科技有限公司,掌昆游戏,150-500人,不需要融资,海珠区,python,1年以下,本科,6k-8k,氛围简单 双薪双休 包餐 年终奖金,"移动互联网,游戏",开发|测试|运维类,"['绩效奖金', '年底双薪', '年终分红', '带薪年假']",后端开发,广州
因诺（上海）资产管理有限公司,因诺,15-50人,不需要融资,西城区,Python开发工程师,1-3年,硕士,15k-20k,"扁平管理,牛人团队,绩效奖金,六险一金",金融,开发|测试|运维类,"['扁平管理', '技能培训', '领导好', '弹性工作']",后端开发,北京
浙江金科文化产业股份有限公司,金科文化,150-500人,上市公司,天河区,python开发工程师,1-3年,大专,8k-10k,环境优越 待遇丰厚,移动互联网,开发|测试|运维类,"['带薪年假', '交通补助', '通讯津贴', '午餐补助']",后端开发,广州
北京爱数智慧科技有限公司,爱数智慧,50-150人,A轮,海淀区,python开发工程师,不限,本科,7k-10k,"人工智能,加班补助,补充医疗,五险一金",人工智能,开发|测试|运维类,[],后端开发,北京
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,闵行区,Python开发工程师（研发效率方向）,3-5年,本科,25k-50k,六险一金，弹性工作，免费三餐，租房补贴,文娱丨内容,开发|测试|运维类,"['扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴']",后端开发,上海
信迪网络资讯有限公司,信迪网络资讯有限公司,150-500人,不需要融资,南山区,python开发工程师,1-3年,本科,10k-16k,项目前景好，团队氛围棒,"移动互联网,社交",开发|测试|运维类,"['年底双薪', '带薪年假', '弹性工作', '领导好']",后端开发,深圳
上海迈外迪网络科技有限公司,迈外迪,150-500人,D轮及以上,朝阳区,python工程师（公共平台中心）,3-5年,本科,15k-25k,交通便利，团队氛围好，有上升空间,"移动互联网,消费生活",开发|测试|运维类,"['岗位晋升', '管理规范', '带薪年假', '交通补助']",后端开发,北京
南通东华软件有限公司,南通东华软件,150-500人,上市公司,西湖区,python开发,3-5年,本科,14k-18k,双休 平台好 五险一金 带薪休假,"信息安全,数据服务",开发|测试|运维类,[],后端开发,杭州
广州威尔森信息科技有限公司,Ways,150-500人,未融资,天河区,Python开发工程师,1-3年,不限,9k-14k,五险一金 带薪假期 周末双休,企业服务,开发|测试|运维类,"['年底双薪', '节日礼物', '带薪年假', '绩效奖金']",后端开发,广州
深圳市比一比网络科技有限公司,深圳市比一比网络科技有限公司,50-150人,A轮,南山区,python开发工程师,1-3年,本科,12k-16k,大数据 薪资待遇高 老板格局高,"电商,数据服务",开发|测试|运维类,"['技能培训', '股票期权', '带薪年假', '岗位晋升']",后端开发,深圳
永杨安风（北京）科技有限公司,LBE 科技,50-150人,B轮,朝阳区,python研发工程师,3-5年,本科,15k-30k,六险一金+定期体检+绩效奖金+水果零食,移动互联网,开发|测试|运维类,"['绩效奖金', '专项奖金', '带薪年假', '节日礼物']",后端开发,北京
北京力码科技有限公司,力码科技,50-150人,A轮,朝阳区,python开发工程师,3-5年,本科,20k-35k,六险一金、福利待遇好、,"移动互联网,企业服务",开发|测试|运维类,"['六险一金', '带薪年假', '定期体检', '扁平管理']",后端开发,北京
乐格商业咨询（深圳）有限公司,乐格信息,150-500人,A轮,福田区,高级python,5-10年,大专,20k-35k,"外企, 个人成长，领导nice","企业服务,数据服务",开发|测试|运维类,"['节日礼物', '技能培训', '职业发展预期', '岗位晋升']",后端开发,深圳
北京旷视科技有限公司,旷视MEGVII,500-2000人,D轮及以上,海淀区,python平台开发工程师,1-3年,本科,22k-35k,父母百万医疗保险 弹性工作 免费三餐,人工智能,开发|测试|运维类,"['科技大牛公司', '自助三餐', '年终多薪', '超长带薪假期']",后端开发,北京
天思（上海）国际贸易有限公司,TRADE X （上海）,150-500人,不需要融资,徐汇区,Python后端高级工程师,3-5年,本科,25k-40k,国际化团队，免费英语健身,"金融,汽车丨出行",开发|测试|运维类,[],后端开发,上海
北京金道天成信息系统服务有限公司,金道天成,500-2000人,不需要融资,西湖区,Python后端开发,3-5年,本科,11k-18k,提供宿舍,"移动互联网,企业服务",开发|测试|运维类,"['年底双薪', '带薪年假', '定期体检', '节日礼物']",后端开发,杭州
苏州研途教育科技有限公司,研途教育,150-500人,A轮,工业园区,python开发工程师,3-5年,本科,10k-13k,全额五险一金 饭补 年终奖,"教育,移动互联网",开发|测试|运维类,[],后端开发,苏州
云量科技（北京）有限责任公司,云量科技,15-50人,天使轮,朝阳区,Python开发工程师（高级）,3-5年,本科,15k-25k,"广阔平台,优秀团队","移动互联网,金融",开发|测试|运维类,"['带薪年假', '午餐补助', '弹性工作', '扁平管理']",人工智能,北京
京东数字科技控股有限公司,京东数字科技,2000人以上,上市公司,拱墅区,高级python开发工程师（杭州）,5-10年,本科,20k-30k,超级广阔的发展前景、超级棒的福利,金融,开发|测试|运维类,"['供应链金融', '消费金融', '众筹业务', '支付业务']",后端开发,杭州
源杉数据科技（上海）有限公司,源杉FIR.ai,15-50人,天使轮,杨浦区,python开发工程师,5-10年,本科,15k-30k,"精英团队,发展空间,股权激励,行业大牛","数据服务,金融",开发|测试|运维类,"['股票期权', '美女多', '领导好', '扁平管理']",后端开发,上海
成都益嘉互动网络科技有限公司,成都益嘉互动网络科技有限公司,15-50人,未融资,高新区,python开发工程师,3-5年,大专,10k-15k,多元化发展，晋升空间大,"移动互联网,游戏",开发|测试|运维类,[],后端开发,成都
